Title,URL,Date,Excerpt,Source,City,Is Theft Related,Is Business Related,Keywords
"Charlotte, NC – Three people wanted for stealing jewelry from Charlotte pawn shop",https://jewelerssecurity.org/three-people-wanted-for-stealing-jewelry-from-charlotte-pawn-shop/,,"Charlotte, NC– Three people are wanted after pictures capture them smashing display cases at a Charlotte pawn shop, according to...",Jewelers Security Alliance,California,True,True,"stealing, shop"
"Monterey, CA- Caught on Camera: Monterey jeweler loses $20,000 in Valentine’s Day theft.",https://jewelerssecurity.org/monterey-ca-caught-on-camera-monterey-jeweler-loses-20000-in-valentines-day-theft/,,"MONTEREY, Calif. – The owner of a jewelry store in downtown Monterey says he lost $20,000 after a pair stole...",Jewelers Security Alliance,California,True,True,"theft, stole, store"
"DuPage County, Illinois- Two Jewelry Store Burglary Suspects ARRESTED from Ohio Released Pre-Trial by DuPage County Judge After Capture by Lombard Police",https://jewelerssecurity.org/dupage-county-illinois-two-jewelry-store-burglary-suspects-arrested-from-ohio-released-pre-trial-by-dupage-county-judge-after-capture-by-lombard-police/,,"Lombard, IL– Police officers about 8:56 p.m. Thursday, February 13, 2025, were dispatched to Rogers & Holland Jewelers after receiving...",Jewelers Security Alliance,California,True,True,"burglary, store"
"San Carlos, CA- : 18-year-old arrested in $56,000 jewelry store robbery.",https://jewelerssecurity.org/san-carlos-ca-18-year-old-arrested-in-56000-jewelry-store-robbery/,,"San Carlos, California – An 18-year-old suspected of stealing $56,000 in jewelry from a San Carlos store in September 2024,...",Jewelers Security Alliance,California,True,True,"robbery, stealing, store"
"New York, NY- 2 arrested amid FBI search in Diamond District in connection to burglaries targeting pro athletes.",https://jewelerssecurity.org/new-york-ny-2-arrested-amid-fbi-search-in-diamond-district-in-connection-to-burglaries-targeting-pro-athletes/,,"MIDTOWN, Manhattan – The FBI searched locations in Manhattan’s Diamond District in connection with the recent rash of burglaries targeting...",Jewelers Security Alliance,California,True,False,burglaries
"Los Angelas, CA- $100K in jewelry stolen in Violent Kidnapping, Robbery in Southern California",https://jewelerssecurity.org/los-angelas-ca-100k-in-jewelry-stolen-in-violent-kidnapping-robbery-in-southern-california/,,"LOS ANGELAS (KTLA) – Two men are wanted in connection with a violent robbery in Los Angeles County, in which...",Jewelers Security Alliance,California,True,False,"stolen, robbery"
"Beverly Hills, CA- Five Arrested After Smash-and-Grab Robbery at Waldorf Astoria Retailer.",https://jewelerssecurity.org/beverly-hills-ca-five-arrested-after-smash-and-grab-robbery-at-waldorf-astoria-retailer/,,"Beverly Hills, CA- On January 10, 2025, a smash-and-grab robbery of a luxury watch retailer on Wilshire Boulevard resulted in...",Jewelers Security Alliance,California,True,False,"robbery, smash-and-grab"
"Atlanta, GA- Police seek thief who stole $240,000 item from Roswell Road jewelry store.",https://jewelerssecurity.org/atlanta-ga-police-seek-thief-who-stole-240000-item-from-roswell-road-jewelry-store/,,"Atlanta, GA – Police are asking for the public’s help in locating a thief who stole jewelry valued at $240,000...",Jewelers Security Alliance,California,True,True,"stole, store"
"UPDATE: Turlock, CA- Police seek Pawn Shop Robbery Suspects",https://jewelerssecurity.org/update-turlock-ca-police-seek-pawn-shop-robbery-suspects/,,"Turlock, CA– The Turlock Police Department is seeking information on the suspects who conducted a takeover-style robbery of a pawn...",Jewelers Security Alliance,California,True,True,"robbery, shop"
"Turlock, California – Surveillance video shows employees held at gunpoint in Turlock pawn shop robbery of jewelry.",https://jewelerssecurity.org/turlock-california-surveillance-video-shows-employees-held-at-gunpoint-in-turlock-pawn-shop-robbery-of-jewelry/,,"Turlock California – Mid Valley Pawn in Turlock reopened Thursday, for the first time after it was robbed. On Saturday,...",Jewelers Security Alliance,California,True,True,"robbery, robbed, shop"
"CANOGA PARK, LOS ANGELES, CA-Thieves Target Canoga Park Jewelry Loan Store in Burglary Attempt.",https://jewelerssecurity.org/canoga-park-los-angeles-ca-thieves-target-canoga-park-jewelry-loan-store-in-burglary-attempt/,,"CANOGA PARK, LOS ANGELES, CA- The Los Angeles Police Department’s Topanga Division officers responded to a burglary early Saturday morning...",Jewelers Security Alliance,California,True,True,"burglary, store"
"Downey, California -3 Arrested in connection with armed robbery, kidnapping at Downey jewelry store.",https://jewelerssecurity.org/,,"Downey, California -3 Arrested in connection with armed robbery, kidnapping at Downey jewelry store.Continue Reading",Jewelers Security Alliance,California,True,True,"robbery, store"
"SOUTH SACRAMENTO, CA- 4 suspects arrested in South Sacramento jewelry store robbery where woman was shot, killed.",https://jewelerssecurity.org/,,"SOUTH SACRAMENTO, CA- 4 suspects arrested in South Sacramento jewelry store robbery where woman was shot, killed.Continue Reading",Jewelers Security Alliance,California,True,True,"robbery, store"
"Monterey, CA- Caught on Camera: Monterey jeweler loses $20,000 in Valentine’s Day theft.",https://jewelerssecurity.org/,,"Monterey, CA- Caught on Camera: Monterey jeweler loses $20,000 in Valentine’s Day theft.Continue Reading",Jewelers Security Alliance,California,True,False,theft
"DuPage County, Illinois- Two Jewelry Store Burglary Suspects ARRESTED from Ohio Released Pre-Trial by DuPage County Judge After Capture by Lombard Police",https://jewelerssecurity.org/,,"DuPage County, Illinois- Two Jewelry Store Burglary Suspects ARRESTED from Ohio Released Pre-Trial by DuPage County Judge After Capture by Lombard PoliceContinue Reading",Jewelers Security Alliance,California,True,True,"burglary, store"
"San Carlos, CA- : 18-year-old arrested in $56,000 jewelry store robbery.",https://jewelerssecurity.org/,,"San Carlos, CA- : 18-year-old arrested in $56,000 jewelry store robbery.Continue Reading",Jewelers Security Alliance,California,True,True,"robbery, store"
"Los Angelas, CA- $100K in jewelry stolen in Violent Kidnapping, Robbery in Southern California",https://jewelerssecurity.org/,,"Los Angelas, CA- $100K in jewelry stolen in Violent Kidnapping, Robbery in Southern CaliforniaContinue Reading",Jewelers Security Alliance,California,True,False,"stolen, robbery"
"Beverly Hills, CA- Five Arrested After Smash-and-Grab Robbery at Waldorf Astoria Retailer.",https://jewelerssecurity.org/,,"Beverly Hills, CA- Five Arrested After Smash-and-Grab Robbery at Waldorf Astoria Retailer.Continue Reading",Jewelers Security Alliance,California,True,False,"robbery, smash-and-grab"
"UPDATE: Turlock, CA- Police seek Pawn Shop Robbery Suspects",https://jewelerssecurity.org/,,"UPDATE: Turlock, CA- Police seek Pawn Shop Robbery SuspectsContinue Reading",Jewelers Security Alliance,California,True,True,"robbery, shop"
"Turlock, California – Surveillance video shows employees held at gunpoint in Turlock pawn shop robbery of jewelry.",https://jewelerssecurity.org/,,"Turlock, California – Surveillance video shows employees held at gunpoint in Turlock pawn shop robbery of jewelry.Continue Reading",Jewelers Security Alliance,California,True,True,"robbery, shop"
"CANOGA PARK, LOS ANGELES, CA-Thieves Target Canoga Park Jewelry Loan Store in Burglary Attempt.",https://jewelerssecurity.org/,,"CANOGA PARK, LOS ANGELES, CA-Thieves Target Canoga Park Jewelry Loan Store in Burglary Attempt.Continue Reading",Jewelers Security Alliance,California,True,True,"burglary, store"
"Downey, California -3 Arrested in connection with armed robbery, kidnapping at Downey jewelry store.",https://jewelerssecurity.org/downey-california-update-3-arrested-in-connection-with-armed-robbery-kidnapping-at-downey-jewelry-store/,,"Downey, California– Three men have been arrested in connection with...",Jewelers Security Alliance,California,True,True,"robbery, store"
"SOUTH SACRAMENTO, CA- 4 suspects arrested in South Sacramento jewelry store robbery where woman was shot, killed.",https://jewelerssecurity.org/sacramento-ca-4-suspects-arrested-in-south-sacramento-jewelry-store-robbery-where-woman-was-shot-killed/,,"SOUTH SACRAMENTO, CA – Four suspects have been arrested in...",Jewelers Security Alliance,California,True,True,"robbery, store"
BRAZIL- Thief gets MMA-style beatdown after robbing jewelry store.,https://jewelerssecurity.org/brazil-thief-gets-mma-style-beatdown-after-robbing-jewelry-store/,,"Caraguatatuba, Brazil– A self-styled crime fighter thwarted a jewelry store...",Jewelers Security Alliance,California,True,True,"robbing, store"
"MEXICO- Cancun, QR police searching for group in broad daylight jewelry heist",https://jewelerssecurity.org/mexico-cancun-qr-police-searching-for-group-in-broad-daylight-jewelry-heist/,,"Cancun, Q.R. — Police in Cancun are on the search...",Jewelers Security Alliance,California,True,False,heist
"Atlanta, GA- Tennessee jewelry stores targeted in $1.7 million heist spree: trio sentenced.",https://jewelerssecurity.org/atlanta-ga-tennessee-jewelry-stores-targeted-in-1-7-million-heist-spree-trio-sentenced/,,"Atlanta, GA– Three men who orchestrated a multi-state jewelry store burglary spree, stealing approximately $1.7 million in merchandise, have been...",Jewelers Security Alliance,Georgia,True,True,"burglary, stealing, heist, store"
"Atlanta, GA- Tennessee jewelry stores targeted in $1.7 million heist spree: trio sentenced.",https://jewelerssecurity.org/,,"Atlanta, GA- Tennessee jewelry stores targeted in $1.7 million heist spree: trio sentenced.Continue Reading",Jewelers Security Alliance,Georgia,True,False,heist
"Atlanta, GA- Police seek thief who stole $240,000 item from Roswell Road jewelry store.",https://jewelerssecurity.org/,,"Atlanta, GA- Police seek thief who stole $240,000 item from Roswell Road jewelry store.Continue Reading",Jewelers Security Alliance,Georgia,True,True,"stole, store"
"Atlanta, GA- Tennessee jewelry stores targeted in $1.7 million heist spree: trio sentenced.",https://jewelerssecurity.org/atlanta-ga-tennessee-jewelry-stores-targeted-in-1-7-million-heist-spree-trio-sentenced/,,"Atlanta, GA– Three men who orchestrated a multi-state jewelry store...",Jewelers Security Alliance,Georgia,True,True,"heist, store"
"Harris County, TX- 4 ARRESTED in connection with a string of smash-and-grab robberies at several NW Harris County jewelry stores",https://jewelerssecurity.org/harris-county-tx-4-arrested-in-connection-with-a-string-of-smash-and-grab-robberies-at-several-nw-harris-county-jewelry-stores/,,"HARRIS COUNTY, Texas — Four people have been arrested and charged in connection with a string of smash-and-grab robberies, according...",Jewelers Security Alliance,Texas,True,False,"robberies, smash-and-grab"
"BELLAIRE, Texas- ‘They knew what they were doing’: Bellaire jewelry store owner followed home and robbed.",https://jewelerssecurity.org/bellaire-texas-they-knew-what-they-were-doing-bellaire-jewelry-store-owner-followed-home-and-robbed/,,"BELLAIRE, Texas – Two men are under arrest after a Bellaire man was boxed into his driveway and robbed.",Jewelers Security Alliance,Texas,True,True,"robbed, store"
"ARLINGTON, TX- SMASH AND GRAB ROBBERY",https://jewelerssecurity.org/arlington-tx-smash-and-grab-robbery/,,"Arlington, TX- On December 20, 2024 at the Village by the Park mall, a jewelery store reported a smash and...",Jewelers Security Alliance,Texas,True,True,"robbery, smash and grab, store, mall"
"Harris County, TX- 4 ARRESTED in connection with a string of smash-and-grab robberies at several NW Harris County jewelry stores",https://jewelerssecurity.org/,,"Harris County, TX- 4 ARRESTED in connection with a string of smash-and-grab robberies at several NW Harris County jewelry storesContinue Reading",Jewelers Security Alliance,Texas,True,False,"robberies, smash-and-grab"
"BELLAIRE, Texas- ‘They knew what they were doing’: Bellaire jewelry store owner followed home and robbed.",https://jewelerssecurity.org/,,"BELLAIRE, Texas- ‘They knew what they were doing’: Bellaire jewelry store owner followed home and robbed.Continue Reading",Jewelers Security Alliance,Texas,True,True,"robbed, store"
"ARLINGTON, TX- SMASH AND GRAB ROBBERY",https://jewelerssecurity.org/,,"ARLINGTON, TX- SMASH AND GRAB ROBBERYContinue Reading",Jewelers Security Alliance,Texas,True,False,"robbery, smash and grab"
"Westchester County, NY – Sledgehammer-wielding NY crooks who jacked $1.7 million in Rolex watches, jewelry nabbed in NJ.",https://jewelerssecurity.org/westchester-county-ny-sledgehammer-wielding-ny-crooks-who-jacked-1-7-million-in-rolex-watches-jewelry-nabbed-in-nj/,,"Westchester County, NY- Two sledgehammer-wielding thugs who helped jack $1.7 million in jewelry and watches — including 70 Rolexes — in a brazen Westchester County heist were nabbed in New Jersey on Tuesday, the feds said.",Jewelers Security Alliance,Phoenix,True,False,heist
"United Kingdom, England – A pair of Romanian Nationals arrested and sentenced to prison for thefts from Jewelry stores.",https://jewelerssecurity.org/united-kingdom-england-a-pair-of-romanian-nationals-arrested-and-sentenced-to-prison-for-thefts-from-jewlery-stores/,,"United Kingdon, England – A pair of brazen thieves were...",Jewelers Security Alliance,Phoenix,True,False,thefts
